,service1_inst,service2_inst,service3_inst,service1_mem,service2_mem,service3_mem,time_span,result
0,6,6,5,539,306,504,below 6,1
1,4,3,1,379,175,435,below 3,1
2,2,6,7,504,5,62,below 1,0
3,5,8,6,57,120,346,below 1,0
4,3,9,9,24,286,571,below 2,1
5,4,9,0,422,116,516,below 6,1
6,5,6,4,166,60,12,below 3,1
7,2,4,2,161,379,132,below 10,1
8,7,6,7,555,403,414,below 6,0
9,9,6,0,564,294,41,below 10,1
10,4,4,1,589,165,410,below 3,1
11,9,4,4,244,453,558,above 10,1
12,9,9,4,243,404,120,below 6,0
13,3,7,5,367,363,39,below 6,1
14,5,1,7,337,192,447,below 1,0
15,2,9,2,467,349,574,below 3,0
16,6,1,3,458,526,249,below 3,0
17,8,1,4,365,164,49,below 3,1
18,8,0,2,437,234,206,below 1,0
19,8,3,1,540,236,320,above 10,0
20,8,5,6,218,227,565,above 10,1
21,9,5,8,148,405,477,below 10,1
22,9,3,4,111,67,204,below 3,1
23,2,6,4,121,275,40,above 10,0
24,1,5,1,301,487,227,below 6,1
25,5,2,1,136,492,169,above 10,1
26,4,9,2,413,16,582,below 3,1
27,6,5,5,170,511,364,below 1,0
28,7,3,1,183,388,488,below 6,0
29,6,5,7,175,235,203,below 10,1
30,2,2,2,2,340,350,below 10,1
31,6,2,7,67,322,589,below 10,0
32,2,5,0,168,84,530,below 2,1
33,7,6,5,186,21,211,above 10,1
34,1,6,5,265,391,501,below 6,0
35,8,3,9,519,212,238,below 10,1
36,1,1,2,244,427,545,below 10,0
37,4,6,6,85,496,397,above 10,1
38,3,8,7,496,107,519,below 6,1
39,6,3,6,297,34,196,below 2,0
40,8,7,9,326,235,534,below 6,1
41,5,5,1,136,182,440,below 6,0
42,8,4,0,217,156,325,below 10,0
43,4,6,2,222,408,267,below 3,0
44,9,7,8,575,291,215,below 3,0
45,5,3,3,12,470,513,below 2,1
46,0,5,0,105,419,562,below 2,0
47,6,2,2,477,330,167,below 3,0
48,2,8,0,450,572,36,below 3,1
49,7,2,9,47,287,485,below 1,1
50,6,0,9,285,525,205,below 6,1
51,1,9,2,538,50,112,below 6,0
52,6,0,4,579,349,175,below 10,1
53,6,1,4,251,95,523,below 10,1
54,4,3,9,27,248,17,below 1,1
55,7,2,3,323,269,261,below 2,1
56,1,4,4,381,29,100,below 1,1
57,4,0,9,599,172,414,above 10,0
58,1,8,2,346,301,60,below 1,0
59,9,9,7,38,574,19,below 2,1
60,6,3,2,291,588,435,below 2,1
61,9,7,5,265,45,416,below 3,0
62,5,5,1,470,309,299,below 3,0
63,3,3,2,73,12,221,below 10,1
64,2,4,4,91,416,520,below 1,0
65,5,9,4,23,89,385,below 1,0
66,2,0,9,570,521,138,below 10,0
67,4,0,8,191,318,192,below 6,1
68,7,8,5,126,360,238,below 6,0
69,5,8,9,35,421,439,below 6,1
70,2,7,3,308,250,386,below 1,1
71,5,9,1,329,19,284,below 6,1
72,3,9,4,104,338,6,below 3,1
73,6,5,1,286,262,78,below 1,1
74,2,9,6,485,413,555,above 10,0
75,5,6,5,51,455,178,below 1,0
76,8,5,9,523,188,181,below 3,1
77,2,3,4,490,333,538,below 6,0
78,5,3,8,107,385,60,below 1,0
79,0,5,8,482,111,574,below 2,1
80,3,3,8,542,228,96,below 10,0
81,2,6,2,559,465,589,below 6,1
82,8,7,7,411,472,544,below 1,0
83,8,6,4,63,564,89,below 3,1
84,7,0,4,177,591,239,below 3,1
85,9,8,4,463,166,213,below 10,1
86,1,9,0,393,491,270,below 3,0
87,3,7,5,111,111,500,below 6,0
88,8,8,2,161,140,570,below 2,0
89,5,8,1,214,40,406,below 1,0
90,6,7,8,191,108,82,above 10,0
91,9,0,2,348,511,199,below 10,0
92,9,2,9,565,158,348,below 3,0
93,4,3,2,580,404,280,below 1,0
94,5,7,2,424,222,84,below 6,1
95,3,0,1,426,530,473,below 2,0
96,5,2,8,314,432,171,below 2,0
97,5,9,5,522,455,386,below 2,1
98,9,7,3,453,380,584,below 2,0
99,2,3,7,455,212,102,below 2,1
100,0,3,5,467,552,496,below 2,1
101,7,9,8,239,475,132,below 6,0
102,3,3,4,391,231,278,below 6,1
103,6,1,6,130,532,321,below 10,0
104,4,7,1,200,12,352,above 10,0
105,5,6,6,446,557,88,below 3,0
106,3,0,0,172,228,272,above 10,0
107,8,4,5,449,52,233,below 3,1
108,0,2,2,565,144,273,below 10,0
109,6,5,5,222,392,575,below 10,1
110,7,7,3,346,582,20,below 1,1
111,2,5,6,276,12,2,below 6,1
112,3,6,6,12,274,381,below 1,1
113,2,5,3,420,355,401,above 10,0
114,2,9,0,342,131,535,below 1,1
115,2,0,2,260,289,330,below 3,0
116,2,5,4,59,277,465,below 10,1
117,4,8,0,80,488,96,below 2,0
118,8,7,2,124,516,188,below 6,0
119,2,6,9,298,161,226,above 10,0
120,8,7,2,528,33,209,below 3,1
121,6,3,9,1,533,41,below 3,0
122,0,3,5,441,404,140,below 1,1
123,5,4,3,106,189,465,below 10,1
124,9,2,9,134,105,268,below 3,0
125,4,3,5,359,420,490,below 10,0
126,7,2,7,445,285,551,below 6,0
127,8,6,0,151,597,402,below 10,0
128,1,1,1,32,584,235,below 1,0
129,0,9,8,528,465,313,below 10,0
130,3,7,6,213,42,170,above 10,0
131,6,7,9,493,406,354,above 10,0
132,8,3,2,83,505,172,below 2,0
133,3,1,9,354,461,59,below 3,1
134,1,5,6,550,52,299,below 1,1
135,7,4,3,440,41,392,above 10,1
136,8,8,7,573,349,241,below 2,1
137,2,1,7,298,177,552,below 3,1
138,9,7,9,180,455,7,below 1,0
139,2,3,8,230,428,275,below 1,0
140,2,8,0,369,223,159,below 1,1
141,7,3,8,550,445,90,below 1,1
142,5,6,6,202,68,419,below 3,1
143,5,1,7,461,574,415,below 1,1
144,0,8,9,557,68,582,below 2,1
145,0,1,7,219,378,126,below 1,1
146,5,8,7,114,507,479,below 3,1
147,1,3,8,355,527,509,above 10,0
148,5,5,1,504,356,321,below 1,1
149,8,0,4,333,99,10,above 10,1
150,3,7,8,494,288,285,below 2,0
151,9,4,6,493,327,332,above 10,1
152,8,5,7,451,177,450,above 10,1
153,3,9,6,388,275,291,below 3,1
154,5,6,5,148,294,357,below 1,0
155,9,4,9,47,152,259,below 3,0
156,7,0,4,123,488,96,below 3,0
157,8,3,3,252,355,29,below 1,0
158,8,2,5,278,494,514,below 6,1
159,9,8,0,437,206,468,above 10,0
160,6,9,0,402,134,583,below 6,0
161,7,0,7,582,22,47,below 3,0
162,3,9,9,497,220,464,above 10,0
163,5,2,7,306,348,220,below 6,1
164,8,0,3,431,333,549,below 10,1
165,3,9,4,540,239,18,below 6,1
166,9,7,8,138,230,512,above 10,0
167,3,5,5,556,181,563,below 1,0
168,1,2,1,272,540,152,below 2,0
169,1,2,1,294,190,586,above 10,0
170,7,9,6,403,405,368,above 10,0
171,7,1,2,263,265,23,below 10,1
172,2,0,7,151,37,196,below 10,1
173,2,2,9,145,330,76,above 10,1
174,1,8,4,152,44,487,above 10,0
175,5,4,0,335,468,384,below 3,0
176,8,3,7,430,513,286,below 2,0
177,6,6,0,441,171,273,below 2,0
178,0,2,0,237,210,141,below 6,1
179,2,1,0,287,242,229,above 10,0
180,7,4,3,487,2,389,below 3,1
181,5,4,6,135,25,48,below 6,1
182,1,6,4,560,547,91,below 2,1
183,4,5,9,312,580,543,below 6,0
184,7,3,4,58,291,217,below 2,1
185,4,3,5,374,431,344,below 2,0
186,2,9,3,297,441,345,below 3,1
187,7,8,7,460,182,157,below 3,0
188,7,5,2,11,148,336,below 6,1
189,1,7,8,59,112,95,below 1,1
190,6,0,4,192,134,114,below 10,0
191,1,9,7,39,532,34,above 10,1
192,0,9,2,174,196,492,below 2,0
193,6,1,7,47,80,68,below 10,0
194,7,3,7,537,504,169,below 1,1
195,4,3,3,252,443,289,below 6,0
196,6,5,5,383,300,196,below 1,0
197,0,8,8,89,50,174,above 10,1
198,3,3,8,169,348,424,below 10,1
199,4,2,7,235,8,139,below 2,1
200,8,8,7,14,525,515,below 3,1
201,4,3,6,299,54,470,below 1,0
202,3,0,7,78,421,242,below 2,0
203,8,8,8,251,522,568,below 6,0
204,2,0,1,256,19,54,below 2,0
205,4,8,6,256,456,459,below 3,1
206,8,2,4,516,187,208,below 2,1
207,0,5,0,149,350,60,below 3,0
208,1,2,8,142,402,260,below 2,0
209,8,2,1,470,542,402,below 10,0
210,8,3,9,515,252,451,below 1,1
211,6,8,7,147,390,16,below 3,1
212,8,3,7,241,490,272,below 6,0
213,1,4,1,335,110,476,below 1,0
214,7,9,1,341,409,452,below 2,1
215,2,0,4,448,304,518,below 2,1
216,5,9,3,125,128,474,below 2,0
217,2,7,8,45,221,492,above 10,1
218,3,0,3,441,200,187,below 6,1
219,0,3,6,105,342,387,below 2,0
220,5,3,2,41,595,202,below 10,1
221,2,5,2,153,423,550,below 10,1
222,4,9,8,171,217,24,below 6,1
223,8,8,4,71,58,92,below 1,0
224,2,9,1,363,421,599,below 2,1
225,4,3,5,484,10,60,below 1,0
226,1,4,8,387,104,303,below 2,0
227,8,1,0,117,92,136,above 10,0
228,5,1,5,57,378,314,below 6,0
229,6,4,9,191,185,354,below 1,0
230,3,5,9,94,583,344,below 2,1
231,1,9,4,124,525,241,below 3,0
232,5,3,1,263,54,104,below 10,1
233,0,1,2,17,252,317,below 1,0
234,5,5,9,406,591,227,below 2,0
235,8,4,5,551,461,42,below 10,1
236,9,0,8,377,465,198,below 2,0
237,6,1,9,322,471,489,above 10,1
238,8,7,2,28,390,99,below 6,1
239,9,4,8,122,402,224,below 1,0
240,5,6,1,386,136,91,below 10,1
241,1,7,8,376,117,450,above 10,0
242,3,6,9,371,87,432,below 10,1
243,8,6,3,88,173,288,below 6,1
244,8,8,6,414,486,364,below 10,0
245,4,8,2,534,420,303,below 3,1
246,1,2,1,582,479,407,below 3,1
247,2,2,2,136,577,557,above 10,0
248,8,5,3,23,534,369,above 10,0
249,0,0,4,585,598,178,below 6,1
250,3,0,8,234,305,239,below 1,0
251,0,7,9,365,39,36,above 10,1
252,2,8,8,96,249,238,below 2,1
253,1,9,4,583,405,32,below 3,0
254,8,5,7,347,582,241,above 10,1
255,9,1,9,22,419,48,below 10,1
256,2,1,4,144,47,427,below 1,1
257,5,3,4,435,274,539,below 10,1
258,0,2,2,476,557,202,below 10,0
259,7,2,9,513,417,423,below 10,1
260,5,2,1,548,446,540,above 10,0
261,0,1,1,6,196,354,below 1,1
262,5,4,9,35,441,474,above 10,0
263,4,1,1,429,258,173,below 2,1
264,2,3,9,515,186,485,below 6,1
265,6,8,6,23,173,204,below 6,0
266,1,4,7,469,165,327,above 10,0
267,4,8,4,273,508,91,below 6,1
268,7,7,2,242,335,146,above 10,0
269,7,4,8,373,396,562,above 10,0
270,1,9,9,380,57,539,below 10,1
271,0,6,3,412,340,352,above 10,1
272,5,3,0,119,154,122,above 10,0
273,5,4,2,461,189,96,below 2,1
274,5,2,1,447,176,448,below 3,1
275,0,5,8,586,522,460,above 10,0
276,7,8,4,203,441,355,below 1,0
277,4,5,5,166,591,61,below 2,1
278,8,4,9,358,433,472,below 10,0
279,5,9,0,563,364,217,below 2,0
280,6,6,9,376,105,213,below 3,0
281,3,9,9,342,60,89,below 10,1
282,7,1,8,444,564,157,above 10,1
283,4,4,2,294,212,160,below 10,0
284,7,9,2,546,574,279,below 6,0
285,8,7,8,595,588,348,below 1,1
286,0,4,9,478,553,213,below 1,0
287,0,0,3,507,585,204,below 3,0
288,0,7,7,564,339,121,below 10,0
