,service1_inst,service2_inst,service3_inst,service1_mem,service2_mem,service3_mem,time_span,result
0,9,9,4,23,170,557,below 3,1
1,1,3,7,116,305,414,below 10,0
2,8,6,0,462,435,432,below 1,0
3,3,9,0,83,495,399,below 6,1
4,2,6,8,452,102,523,below 3,1
5,7,0,7,434,288,365,above 10,1
6,1,9,7,469,146,589,below 10,0
7,6,8,0,413,161,201,below 3,1
8,7,5,6,24,113,109,below 2,1
9,9,0,5,437,571,497,below 10,1
10,7,3,3,417,444,363,below 10,1
11,1,6,9,49,349,568,below 2,1
12,0,0,2,323,254,352,below 1,1
13,2,0,3,309,275,145,below 1,1
14,7,3,3,259,420,385,below 10,0
15,0,9,5,377,70,540,below 2,0
16,9,9,5,220,32,41,below 3,0
17,9,9,9,139,519,333,below 3,1
18,5,1,3,23,572,508,below 10,1
19,6,3,2,143,109,463,below 6,1
20,6,9,2,279,259,413,below 1,0
21,8,5,5,141,435,572,below 6,0
22,3,2,0,174,423,497,below 3,0
23,3,3,5,356,593,45,below 6,0
24,6,0,3,151,377,248,below 6,0
25,5,9,8,458,437,296,below 3,1
26,3,7,9,78,47,579,below 3,0
27,6,1,3,310,215,362,above 10,0
28,4,7,0,559,586,249,below 2,1
29,6,5,6,111,404,563,below 10,0
30,4,2,7,498,383,574,below 1,0
31,2,1,9,438,243,184,below 2,0
32,4,0,1,439,481,546,below 2,0
33,7,4,7,145,160,402,below 2,0
34,8,0,3,38,105,426,above 10,0
35,1,6,7,558,295,136,below 2,0
36,5,0,7,321,239,182,below 2,1
37,7,7,5,446,19,544,below 3,0
38,9,4,3,5,522,282,below 6,1
39,0,0,0,427,128,0,below 6,0
40,0,2,1,279,588,119,below 3,1
41,2,1,4,465,17,470,below 6,0
42,8,6,4,41,420,559,below 10,1
43,4,0,9,527,384,8,below 6,1
44,7,2,6,177,555,549,below 1,0
45,5,2,5,481,195,244,below 2,0
46,8,0,1,107,559,590,below 6,1
47,8,7,9,529,175,536,above 10,0
48,8,6,7,55,442,355,below 1,0
49,3,6,4,34,26,193,below 6,0
50,2,3,6,331,568,13,below 1,0
51,6,2,4,230,135,69,below 10,1
52,7,5,3,18,474,563,below 2,1
53,5,4,2,501,84,4,above 10,0
54,4,7,9,408,301,99,below 2,0
55,3,0,8,322,115,252,above 10,1
56,0,6,7,332,445,9,below 3,1
57,3,2,8,256,323,175,below 1,1
58,6,1,0,436,308,482,above 10,1
59,8,2,7,553,522,424,below 10,0
60,2,0,5,397,535,594,above 10,1
61,8,4,8,166,386,471,below 3,0
62,1,5,1,19,260,326,below 1,1
63,9,2,5,107,300,211,below 10,1
64,9,9,5,294,174,71,below 6,1
65,7,0,3,431,404,590,above 10,0
66,2,8,7,236,40,148,above 10,0
67,8,9,9,278,405,150,below 10,1
68,7,5,1,168,476,548,below 3,0
69,0,0,0,132,12,489,below 6,1
70,8,5,0,513,366,216,below 10,1
71,8,1,9,443,530,445,above 10,1
72,7,0,9,585,165,250,below 2,1
73,5,1,6,534,64,331,below 6,0
74,3,9,0,75,506,371,below 6,0
75,7,8,1,541,246,521,below 6,1
76,1,6,3,156,401,117,below 1,1
77,1,2,5,188,48,225,below 3,0
78,0,3,2,344,566,146,below 2,0
79,1,4,8,362,306,23,below 6,0
80,8,2,9,140,366,558,below 6,0
81,7,2,8,499,574,222,below 1,1
