,service1_inst,service2_inst,service3_inst,service1_mem,service2_mem,service3_mem,time_span,result
0,9,9,8,526,146,567,below 1,1
1,4,8,6,193,154,21,below 10,0
2,4,8,6,53,87,552,below 1,1
3,8,5,3,161,558,168,below 1,1
4,7,2,9,493,429,222,above 10,0
5,8,5,2,495,425,209,below 3,1
6,4,1,3,405,412,161,below 1,0
7,8,6,8,337,516,429,above 10,0
8,2,5,7,222,363,436,below 6,0
9,2,2,3,201,76,331,below 2,1
10,8,0,2,428,565,539,below 2,1
11,5,2,3,495,598,176,above 10,0
12,2,8,3,469,428,51,below 2,0
13,0,2,2,72,412,441,below 10,1
14,1,2,7,239,39,555,below 3,1
15,4,9,4,429,411,559,below 1,0
16,7,9,1,357,430,290,above 10,1
17,8,6,9,587,421,175,below 6,0
18,8,2,3,156,148,184,above 10,0
19,6,8,6,204,386,349,below 2,1
20,8,4,9,394,543,552,below 1,0
21,8,6,5,43,567,42,below 3,1
22,7,2,7,144,331,38,below 10,0
23,4,5,3,530,353,340,below 3,0
24,0,5,9,110,18,246,below 1,1
25,3,0,4,500,582,465,below 3,1
26,1,1,5,243,141,351,above 10,1
27,3,1,4,118,125,564,below 2,0
28,3,0,5,188,412,593,above 10,0
29,1,0,5,427,361,435,below 2,0
30,7,4,1,61,458,358,below 10,0
31,1,1,8,259,162,257,below 2,0
32,7,6,3,260,422,482,below 1,1
33,6,2,9,268,247,347,below 1,0
34,0,9,3,113,134,489,below 1,0
35,7,5,2,98,433,307,below 10,1
36,4,2,0,567,108,527,below 2,0
37,7,6,6,233,374,501,above 10,0
38,4,8,5,207,136,380,below 10,1
39,4,5,1,476,92,507,below 10,1
40,6,3,5,121,385,363,below 2,1
41,9,7,6,485,557,176,below 3,0
42,2,7,8,511,220,598,below 6,0
43,7,7,5,443,4,212,below 10,0
44,2,6,2,541,70,524,below 6,0
45,8,1,3,449,523,321,below 3,1
46,9,5,8,292,191,347,below 10,1
47,0,1,9,500,261,548,below 10,1
48,8,9,0,330,424,197,above 10,0
49,0,0,3,308,544,79,below 10,1
50,1,1,6,165,586,547,below 1,0
51,9,9,1,524,76,112,below 6,1
52,1,2,8,1,546,499,below 2,1
53,5,1,0,533,456,481,below 10,1
54,9,8,8,390,357,360,below 10,1
55,6,8,2,299,61,105,below 1,1
56,0,6,5,453,77,434,below 6,1
57,3,7,4,460,256,472,above 10,1
58,4,4,8,551,439,96,above 10,0
59,3,9,6,361,280,486,above 10,1
60,9,2,4,544,82,568,below 1,0
61,7,6,5,324,531,21,below 6,0
62,1,0,2,243,15,28,above 10,0
63,0,0,4,397,557,573,below 2,1
64,5,7,0,0,522,373,below 1,1
65,8,1,5,559,417,38,below 10,0
66,7,9,6,172,597,304,below 1,0
67,2,1,8,378,105,319,below 3,0
68,2,6,7,126,404,143,below 10,1
69,4,0,9,587,599,273,above 10,0
70,9,6,4,480,369,117,below 2,1
71,5,7,0,13,101,513,above 10,1
72,1,7,0,491,111,227,above 10,1
73,6,1,2,264,591,595,below 6,0
74,1,6,5,157,288,36,below 1,1
75,6,0,4,89,71,31,below 1,1
76,4,4,8,580,233,318,below 1,1
77,8,2,0,545,33,214,above 10,1
78,4,5,6,452,261,324,above 10,0
79,4,0,0,334,281,475,below 10,0
80,0,8,5,388,50,422,below 2,1
81,8,2,7,596,569,46,below 2,0
82,4,6,4,384,516,139,below 10,0
83,6,0,3,362,210,167,above 10,1
84,7,7,9,227,154,441,below 2,0
85,6,9,6,111,557,148,below 3,0
86,9,2,9,459,89,43,below 2,0
87,7,1,3,87,185,306,above 10,1
88,7,8,0,31,596,411,above 10,1
89,0,8,4,401,231,400,above 10,1
90,7,9,3,176,421,433,above 10,1
91,2,1,8,503,148,78,below 1,1
92,9,2,6,593,581,389,below 2,0
93,9,1,1,427,564,235,below 10,0
94,8,0,4,571,85,264,below 1,0
95,2,3,4,10,454,327,above 10,1
96,8,4,1,566,203,126,below 3,0
97,2,4,7,255,252,124,below 1,0
98,3,4,1,456,587,447,below 2,0
99,3,8,2,391,439,407,above 10,0
100,4,2,1,503,477,173,below 1,1
101,7,8,4,487,94,121,below 10,0
102,6,3,9,198,231,161,below 10,1
103,3,5,7,284,469,248,below 10,0
104,5,8,0,338,497,569,above 10,0
105,2,2,8,248,557,481,below 10,0
106,4,0,4,538,514,431,below 3,0
107,4,1,7,467,288,447,below 6,1
108,1,1,5,472,279,567,below 3,1
109,9,4,7,432,302,525,below 6,0
110,3,4,9,151,599,220,below 3,0
111,6,2,8,72,268,345,below 6,1
112,8,9,9,178,334,487,below 10,1
113,3,9,4,403,194,230,below 1,1
114,3,6,1,548,329,132,below 1,0
115,9,0,1,418,229,169,below 3,1
116,3,5,7,492,407,455,below 3,0
117,2,1,0,143,264,117,below 2,0
118,4,7,8,523,77,54,below 2,0
119,9,8,9,489,147,317,below 3,1
120,8,5,4,33,485,531,below 3,1
121,9,6,7,373,275,146,below 2,1
122,9,1,7,16,349,569,below 1,1
123,1,5,3,13,139,401,below 10,1
124,9,8,1,202,433,252,below 6,1
125,1,6,9,27,557,353,below 10,1
126,8,6,5,58,306,322,below 3,0
127,6,9,4,475,181,174,below 1,0
128,5,2,0,577,520,150,below 6,1
129,5,8,0,266,526,489,below 10,1
130,2,3,2,66,436,171,below 3,0
131,7,4,0,247,29,522,below 10,1
132,1,8,2,93,383,281,below 3,0
133,9,5,9,503,397,1,below 2,0
134,3,7,3,426,271,356,below 3,1
135,5,5,8,145,45,523,below 1,1
136,8,8,1,553,499,78,above 10,0
137,9,1,3,91,221,320,below 3,1
138,4,2,1,410,253,389,below 10,0
139,5,8,8,392,0,225,below 1,0
140,2,4,4,273,258,321,below 6,1
141,3,8,8,140,596,89,below 3,1
142,6,6,0,109,543,194,below 10,1
143,6,3,8,596,539,507,above 10,0
144,7,2,9,93,151,377,below 6,0
145,1,3,5,40,527,10,below 2,1
146,6,5,9,192,296,44,above 10,0
147,4,7,5,97,128,235,below 2,0
148,6,9,8,392,409,143,below 3,1
149,3,4,5,462,304,250,below 2,0
150,7,5,0,356,573,348,above 10,0
151,5,4,1,405,275,459,below 2,0
152,6,4,7,428,364,174,below 1,1
153,9,2,0,537,548,328,below 3,0
154,3,5,5,283,545,172,below 10,1
155,8,8,2,212,422,61,below 10,1
156,1,8,6,279,60,328,below 2,0
157,0,1,3,346,62,41,below 3,1
158,9,8,1,475,60,289,below 10,1
159,6,7,0,556,275,557,below 3,1
160,2,2,3,417,322,483,below 10,0
161,3,1,8,67,13,320,above 10,0
162,8,0,8,582,400,587,below 2,1
163,2,6,2,481,256,122,below 1,0
164,5,5,0,442,15,316,below 1,0
165,7,2,8,230,74,16,below 3,0
166,5,6,3,333,30,157,below 1,1
167,6,1,3,69,235,518,below 6,0
168,1,3,0,427,539,420,above 10,0
169,5,2,8,304,247,311,below 6,1
170,4,0,9,266,468,414,below 2,1
171,5,2,1,88,305,472,above 10,0
172,1,3,8,267,224,248,below 6,1
173,5,9,6,408,576,62,below 10,0
174,0,0,3,465,312,98,below 10,0
175,5,1,5,172,243,81,below 2,1
176,3,5,6,514,326,52,below 2,1
177,9,5,0,518,47,523,below 10,0
178,4,1,9,568,55,185,below 6,1
179,1,6,5,310,555,122,below 1,1
180,0,7,8,175,248,330,below 1,1
181,0,9,6,502,492,581,above 10,0
182,7,7,0,526,476,533,below 1,0
183,6,3,1,362,556,563,below 3,1
184,1,6,6,303,79,230,below 1,0
185,4,3,9,401,136,365,below 3,0
186,8,7,9,120,135,456,below 2,1
187,3,5,6,379,579,539,below 3,1
188,8,3,2,239,530,411,below 10,0
189,0,4,6,335,274,242,below 3,1
190,0,4,0,501,267,394,below 10,1
191,8,0,3,468,546,345,above 10,1
192,7,2,9,336,505,354,below 3,0
193,6,2,6,515,358,51,above 10,1
194,9,5,0,90,532,462,below 1,1
195,1,5,2,164,465,423,below 10,0
196,4,2,2,395,104,103,below 1,0
197,1,3,1,138,152,86,below 6,1
198,5,2,2,257,154,55,below 2,0
199,0,7,2,527,23,150,below 6,1
200,3,3,5,363,181,463,below 1,0
201,4,7,3,438,340,588,below 3,0
202,7,0,4,143,577,370,below 2,0
203,9,7,5,376,316,259,below 3,1
204,7,9,2,147,536,524,below 10,1
205,4,4,0,494,42,235,below 6,1
206,8,4,4,73,527,298,below 10,1
207,6,7,1,550,372,70,below 6,0
208,9,1,2,440,392,391,above 10,0
209,9,2,6,454,400,148,below 2,0
210,0,8,1,197,320,534,below 1,1
211,5,4,5,522,567,247,above 10,0
212,0,4,0,374,261,409,below 6,1
213,0,5,7,254,291,305,below 6,0
214,5,5,4,132,118,204,below 1,1
215,9,3,0,374,599,222,below 10,0
216,8,0,9,317,465,245,below 3,1
217,8,8,3,295,386,504,below 6,1
218,5,7,6,205,141,596,above 10,0
219,7,3,0,324,364,298,below 2,1
220,7,4,9,101,502,240,below 3,1
221,9,8,0,128,330,356,above 10,1
222,5,0,3,160,141,330,below 6,0
223,7,7,2,582,10,453,below 1,1
224,5,5,8,282,407,289,below 1,1
225,0,6,0,523,528,286,below 1,1
226,8,3,3,552,250,223,below 10,0
227,2,4,3,250,206,516,below 3,0
228,3,1,8,349,155,156,below 1,1
229,1,3,8,530,130,164,below 6,1
230,5,7,9,303,9,270,below 2,0
231,9,6,2,137,19,88,below 1,1
232,4,4,6,272,450,276,below 10,0
233,5,5,4,475,464,30,below 1,1
234,4,6,8,213,32,148,above 10,1
235,7,4,4,187,128,367,above 10,0
236,7,0,9,473,462,282,below 3,1
237,2,1,1,568,199,201,below 10,0
238,6,4,1,175,114,560,below 1,1
239,9,1,7,141,108,317,below 10,1
240,0,3,1,299,111,238,below 10,1
241,3,8,8,327,438,284,below 6,1
242,8,3,2,393,395,308,below 10,0
243,1,6,1,216,337,327,below 6,0
244,4,3,1,526,324,335,below 6,0
245,5,0,8,256,477,336,below 1,0
246,9,3,5,119,391,337,below 1,0
247,2,1,4,441,193,203,below 1,1
248,0,8,4,462,238,542,above 10,1
249,1,0,6,179,447,79,below 6,1
250,1,6,1,141,118,530,below 2,1
251,8,5,4,39,32,397,above 10,1
252,9,3,9,276,99,208,below 6,1
253,0,9,8,338,524,471,below 1,1
254,4,1,3,589,403,63,below 6,0
255,8,6,3,231,578,234,above 10,1
256,3,8,5,338,364,183,above 10,1
257,5,0,4,228,301,513,below 3,0
258,8,1,1,217,325,46,below 3,0
259,6,9,3,352,13,462,above 10,0
260,7,7,4,399,425,484,below 2,0
261,8,4,3,219,583,368,below 10,0
262,4,4,2,548,528,171,below 2,1
263,2,2,7,584,290,567,above 10,1
264,5,4,9,373,323,432,below 2,0
265,7,0,8,40,64,485,below 3,1
266,0,1,2,143,457,371,below 6,1
267,9,1,7,519,289,192,below 3,0
268,0,5,8,267,167,241,below 3,0
269,8,6,5,64,94,485,below 10,0
270,9,9,1,463,77,414,below 3,1
271,4,3,9,132,174,498,above 10,0
272,9,6,5,558,200,90,below 10,1
273,5,7,7,516,431,171,below 1,1
274,2,8,8,344,380,137,above 10,1
